ID,title,url,company,location,description
1,Assistant Brand Manager Internship,https://be.linkedin.com/jobs/view/assistant-brand-manager-internship-at-jde-peet-s-3952875864?position=2&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=Bf3W6nDOMQ%2FBcVsj6yZf4w%3D%3D&trk=public_jobs_jserp-result_search-card,JDE Peet's,"Brussels, Brussels Region, Belgium","job description

jacobs douwe egberts (jde) is the world's leading pure-play coffee and tea company. for more than 265 years, jde has been inspired by the belief that it’s amazing what can happen over a cup of coffee. today, jde unleashes the possibilities of coffee and tea in more than 100 countries, through a portfolio of over 50 brands including douwe egberts, l’or, jacobs, senseo, tassimo, oldtown, super, pickwick and moccona.



we're looking for a assistant brand manager intern to strengthen our team in brussels. in this role you will work on a set of different global and local brands within the portfolio (senseo®, l’or , douwe egberts, jacqmotte ). interns at jde get an in depth understanding of the marketing industry while learning from reputable marketing professionals. you will provide support for the marketing team including:





if you’re brimming with entrepreneurial spirit and a drive to succeed, you’ll fit right in at jde. working globally and locally, our associates have been positively influencing the world of coffee for over 250 years. we love people who are not afraid to try, and who try until they get it right. we value strong convictions and encourage debate. and all this in an open, friendly environment where you can approach anyone and grow any way you like.



for this role as an assistant brand manager intern, we’re looking for someone who has the following skills and experience:





we are proud of our passionate, driven associates that challenge the status quo and pursue mastery in everything they do. our goal is simple and ambitious –jacobs douwe egberts: a coffee for every cup.

working with us means you’ll be making an impact in a fast-paced, collaborative environment. we work as a team, celebrating success and supporting one another. our associates work with a diverse group of like-minded people, in an innovative environment committed to doing the right thing –all across the world. what you do here will get noticed."
2,Assistant Brand Manager Direct To Consumer Internship,https://be.linkedin.com/jobs/view/assistant-brand-manager-direct-to-consumer-internship-at-jde-peet-s-3894853720?position=3&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=1dVcMHeLfeZ131d14vhIgA%3D%3D&trk=public_jobs_jserp-result_search-card,JDE Peet's,"Auderghem, Belgium","company description

it’s amazing what can happen over a cup of coffee. at jacobs douwe egberts, we’ve made it our mission to find out. our people have been raising the bar since day one, thinking fast and acting even faster to make an impact that’s felt around the world. jde is the home to some of the most well-known coffee brands in the world. to date, our coffee and tea portfolio is available in over 100 countries and includes iconic household names such as jacobs, tassimo, moccona, senseo, l’or, douwe egberts, super, kenco, pilao and gevalia. we’ve built our business on the belief that everyone deserves the coffee they love – no matter who you are, where you live or how you take it.



you are a brand lover. you want to be in the driving seat and to have impact. you want to work with a multi-cultural team where diversity is valued for what it brings – divergence of opinions that makes our life and business richer. you want to create amazing coffee moments for consumers through brands like douwe egberts, jacqmotte, l’or or senseo. then this internship is for you.

we’re looking for an assistant brand manager intern for the l’or in dtc & douwe egberts in away from home. you'll be part of our marketing team based in brussels and will report directly to the brand & dtc manager.

as an abm intern, you have the full responsibility of developing the direct to consumer business - through our webshop, develop communication and media campaigns and much more. you will be working in strong global and european brands - l'or & senseo, but also the local jewel douwe egberts. you will join a team of strong marketing & digital experts, develop your business acumen, and share great moments around a cup of coffee or tea. in this role you will also thrive in developing your digital & e-commerce skills as long as your marketing expertise in the brewers portfolio. you will work in a multi-cultural, high performing and positive team.







if you’re brimming with entrepreneurial spirit and a drive to succeed, you’ll fit right in at jde. working globally and locally, our associates have been positively influencing the world of coffee for over 250 years. we love people who are not afraid to try, and who try until they get it right. we value strong convictions and encourage debate. and all this in an open, friendly environment where you can approach anyone and grow any way you like.



for this role as an assistant brand manager (dtc) intern, we’re looking for someone who has the following skills and experience:





we are proud of our passionate, driven associates that challenge the status quo and pursue mastery in everything they do. our goal is simple and ambitious jacobs douwe egberts: a coffee for every cup. working with us means you’ll be making an impact in a fast paced, collaborative environment. we work as a team, celebrating success and supporting one another. our associates work with a diverse group of likeminded people, in an innovative environment committed to doing the right thing all across the world. what you do here will get noticed."
3,Intern Digital Marketing B2B,https://be.linkedin.com/jobs/view/intern-digital-marketing-b2b-at-coca-cola-europacific-partners-3929553037?position=4&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=h%2BK3Mft7F5SU%2FTWkwcX0jA%3D%3D&trk=public_jobs_jserp-result_search-card,Coca-Cola Europacific Partners,"Anderlecht, Brussels Region, Belgium","do you have a passion for bubbles and a knack for spreading joy? join our effervescent team at coca-cola europacific partners and be a part of the magic that brings happiness to millions!

context:

the is looking for their next intern! if you are free then this may be for you!

the team is responsible for sending quality email communications to our b2b customers (direct and indirect). end-to-end responsibility: planning, creation of visuals, layout in the emailing system, database creation, emailing and analysis of results and learnings.

during the internship, you will provide support to the team on various projects.











we are (ccep) – a dedicated, serving , who work together to make, some of the world’s most loved drinks. we are a global business and one of the leading consumer goods companies in the world. we help our grow, and we are constantly investing in exciting new products, innovative technologies and fresh ideas. this helps us to people who enjoy our drinks every day, including , fanta®, sprite®, monster® and nalu®.



at ccep, we advocate for equal opportunities and welcome candidates from all backgrounds, regardless of their ethnic origin, gender, sexual orientation, age, religion, or disability status. only skills and motivation will be taken into consideration.

we encourage candidates from diverse backgrounds to apply and bring their unique perspectives and experiences to our teams and ccep.

convinced? we eagerly await your application!

we constantly strive to provide a friendly and inclusive recruitment process, encouraging candidates to inform us of their specific needs or any necessary adjustments needed to ensure a pleasant and accessible experience for everyone.

for any additional information, please feel free to contact our recruitment team:"
4,Assistant Brand Manager,https://be.linkedin.com/jobs/view/assistant-brand-manager-at-colgate-palmolive-3952564818?position=5&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=TAKJSejwo9vgp3Cm52C9Ug%3D%3D&trk=public_jobs_jserp-result_search-card,Colgate-Palmolive,"Brussels, Brussels Region, Belgium","# 160855 - brussels, brussels-capital region, belgium

who we are

colgate-palmolive company is a caring, innovative growth company that is reimagining a healthier future for all people, their pets and our planet. focused on oral care, personal care, home care and pet nutrition, we sell our products in more than 200 countries and territories under brands such as colgate, palmolive, elmex, hello, meridol, sorriso, tom’s of maine, eltamd, filorga, irish spring, pca skin, protex, sanex, softsoap, speed stick, ajax, axion, fabuloso, soupline and suavitel, as well as hill’s pet nutrition.

we are recognized for our leadership and innovation in promoting sustainability and community wellbeing, including our achievements in decreasing plastic waste and promoting recyclability, saving water, conserving natural resources and improving children’s oral health.

if you want to work for a company that lives by their values, then give your career a reason to smile and join our global team!



























with the colgate brand in more homes than any other, we are presented with great opportunities and new challenges as we work to integrate sustainability into all aspects of our business and create positive social impact. we are determined to position ourselves for further growth as we act on our 2025 sustainability & social impact strategy.



achieving our purpose starts with our people — ensuring our workforce represents the people and communities we serve —and creating an environment where our people feel they belong; where we can be our authentic selves, feel treated with respect and have the support of leadership to impact the business in a meaningful way.



colgate is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, ethnicity, age, disability, marital status, veteran status (united states positions), or any other characteristic protected by law.

reasonable accommodation during the application process is available for persons with disabilities. please contact application_accommodation@colpal.com with the subject ""accommodation request"" should you require accommodation."
5,Digital Marketing Officer,https://be.linkedin.com/jobs/view/digital-marketing-officer-at-golden-palace-casino-sports-3943015484?position=6&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=0Fp8labM7BAWcRXP3udjfg%3D%3D&trk=public_jobs_jserp-result_search-card,Golden Palace Casino Sports,"Brussels Region, Belgium","direct message the job poster from golden palace casino sports
hajar atayebi
hajar atayebi
hr | recruitment & talent development ♣
our company
the golden palace group, a family-owned business established in 1963, stands as an undisputed reference in the gaming world. with over 40 gaming halls in belgium, 2 casinos in france, 7 sports betting agencies, a network of press shops (press shop & more), 3 online gaming sites, and 600 employees, we've built a remarkable presence."
6,Marketing Intern (Social Media & Copywriting),https://be.linkedin.com/jobs/view/marketing-intern-social-media-copywriting-at-optimy-3931259626?position=7&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=Dp97L%2FAxmgrJoarRVEw%2BSg%3D%3D&trk=public_jobs_jserp-result_search-card,Optimy,"Brussels, Brussels Region, Belgium","optimy is a belgian tech scale-up and the european leader in the social impact industry that enables any organization to manage and align its grant, volunteering, donation, and sponsorship programs.

at optimy, we believe that corporations are a force for good and can make the world a better place. for more than 12 years, we have enabled organizations to amplify their positive impact by building meaningful relationships with causes, communities, employees, and customers.

today, over 350 organizations use optimy to manage over 1.5m projects in 22 languages across 25 countries. our client portfolio includes audi belgium, fondation michelin, grameen foundation, ford motor company, uefa foundation for children, and many others.

we are currently looking for a to join our marketing team based in our headquarters, brussels.
















to learn more about us, don't hesitate to check out our culture playbook on our website : https://www.canva.com/design/dae9lewovxe/znjdzoznd...."
7,Marketing Coordinator,https://be.linkedin.com/jobs/view/marketing-coordinator-at-flamant-3947249638?position=8&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=p0sa9vvw1baFkpQ9LWle1Q%3D%3D&trk=public_jobs_jserp-result_search-card,Flamant,"Geraardsbergen, Flemish Region, Belgium","company description

flamant, the belgian interiors specialist, has been taken over by besix group. flamant is in belgium and abroad famous for its interior decoration and – concepts. it was established in 1978 and is an official royal warrant holder since 2007. it has six of its own stores (flamant knokke, sint-martens-latem, sint-genesius-rode, antwerp, brussels), including one in paris. its products are also available in more than 200 stores worldwide.



as a marketing coordinator, you develop, coordinate, and execute all flamant marketing & communication activities.

in your role you are a crucial part of the flamant marketing team.

the ideal candidate has experience in a wide range of marketing functions, including communication, advertising, branding, digital, social media and events.

the marketing coordinator must be an organized multitasker, able to handle many diverse projects simultaneously and meet tight deadlines.

tasks:

qualifications"
8,Social Media and Influence Officer (H/F),https://be.linkedin.com/jobs/view/social-media-and-influence-officer-h-f-at-my-american-shop-planet-foods-3955337386?position=9&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=5VPEHkhDg5MM%2BAc%2FX5%2FZOg%3D%3D&trk=public_jobs_jserp-result_search-card,My American Shop | Planet Foods,"Nivelles, Walloon Region, Belgium","🦄 qui sommes-nous ?

my american shop (mas) est une scale-up fondée en 2018, active dans l’ecommerce.
avec + de 2000 produits, l’entreprise distribue et commercialise des produits du monde avec un focus sur les usa et l’asie."
9,Brand Manager (Temporary 6 months),https://be.linkedin.com/jobs/view/brand-manager-temporary-6-months-at-nestl%C3%A9-3955761796?position=10&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=m4NnDznEZPMcj0kPMzF8WA%3D%3D&trk=public_jobs_jserp-result_search-card,Nestlé,"Brussels, Brussels Region, Belgium","pets are our passion, safety is our promise and progress is our pledge. we work smarter, not harder. as a result, we’re widely known as a ‘best place to work’. we make some of the world's most popular and trusted food brands and are committed to advancing the science, health and food products for pets.



to strengthen our department of marketing we are looking for a brand manager. as our brand manager, you will be in charge of one or several brands of our portfolio. the essence of your job is to build strong brands which will delight target consumers and generate strong business results. you will be in charge of the local strategy for different brands in the belgilux market."
10,Brand Management Internship (m/f/x),https://be.linkedin.com/jobs/view/brand-management-internship-m-f-x-at-procter-gamble-3906749692?position=11&pageNum=0&refId=WzffCxcQBze3jO3DPs5Ruw%3D%3D&trackingId=Wqw4xtScFB7va0fn0hSSMQ%3D%3D&trk=public_jobs_jserp-result_search-card,Procter & Gamble,"Brussels, Brussels Region, Belgium","job location

brussels

job description

are you a student and dreaming of substantial and purposeful business experience? do you want to be in the driving seat and have a true impact on consumers and the society around? then, come to make a difference as a brand intern at p&g, the company who invented the concept of brand management!

you will be offered a position in a multi-functional business team - organized around the iconic brands that we sell in europe (pampers, gillette, oral-b, always, head&shoulders, ariel, dreft etc.) - consisting of managers with different functional expertise and background (brand management – to which you will report, sales, finance, product supply, advertising and media agencies).




















we are an equal opportunity employer and value diversity at our company. at p&g we strive to build a culture where everyone feels welcome, included, and able to bring their full selves to work.

we ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process. please click here if you require an accommodation during the application process. please make sure to wait to hear back from us regarding your accommodation proceeding with the online assessment, we thank you in advance for your patience.



full time



r000089483



internships (job segmentation)"
